run_id,arm,ratio,burst,game_moves,wait_ms,leaf_bs,inf_bs,workers,gumbel_m,games_per_hour,steps_per_hour,draw_rate,game_length_p50,game_length_p95,frac_games_at_cap,gpu_util_median,gpu_util_p10,gpu_train_frac,batch_fill_pct_median,inference_calls_per_move,value_loss_slope,policy_entropy_mean,policy_entropy_slope,policy_entropy_floor,total_loss_max,sanity_flags
G0,Gumbel,2.0,8,200,12.0,8,64,14,16,276.3,549.3,0.4938,88.0,100.0,0.0,82.0,78.0,0.0182,76.0,21.08,-0.000169,0.256,0.000158,0.0,3.6164,LOW_ENTROPY
G1,Gumbel,2.0,8,200,2.0,8,64,14,16,286.3,568.7,0.5556,100.0,100.0,0.0,82.0,78.0,0.0192,80.0,20.75,-0.000349,0.2742,-0.000102,0.0,3.8322,LOW_ENTROPY
G2,Gumbel,2.0,8,200,2.0,8,64,14,8,606.9,1210.5,0.2291,20.0,100.0,0.0,83.0,79.7,0.0425,79.0,16.16,-0.000058,0.2459,0.000009,0.0,3.6071,LOW_ENTROPY
G3,Gumbel,2.0,8,150,2.0,8,64,14,8,710.4,1417.3,0.3043,20.0,75.0,0.0,82.0,78.0,0.0489,77.2,15.43,-0.000065,0.2542,0.000009,0.0,3.6307,LOW_ENTROPY
G4,Gumbel,2.0,8,150,2.0,16,64,14,8,568.6,1133.8,0.3675,23.0,75.0,0.0,82.0,78.0,0.0384,83.0,16.48,-0.000111,0.2523,-0.000031,0.0,3.6583,LOW_ENTROPY
G5,Gumbel,4.0,16,150,2.0,16,64,14,8,431.1,1721.1,0.4419,39.0,75.0,0.0,82.0,78.0,0.0848,81.9,19.12,-0.000030,0.249,-0.000005,0.0,3.5573,LOW_ENTROPY
P0,PUCT,2.0,8,200,12.0,8,64,14,,467.7,931.9,0.4851,84.5,100.0,0.0,84.0,82.0,0.034,95.5,11.34,-0.000133,0.255,-0.000016,0.0,3.3114,LOW_ENTROPY
P1,PUCT,4.0,16,200,12.0,8,64,14,,456.5,1822.4,0.4656,65.0,100.0,0.0,84.0,82.0,0.0953,95.2,10.87,-0.000036,0.2567,-0.000001,0.0,3.6197,LOW_ENTROPY
P2,PUCT,4.0,16,150,12.0,8,64,14,,533.0,2128.7,0.4938,69.0,75.0,0.0,84.0,82.0,0.1116,93.5,11.67,-0.000044,0.2524,0.000010,0.0,3.3551,LOW_ENTROPY
P3,PUCT,4.0,16,150,4.0,8,64,14,,606.3,2421.6,0.392,44.5,75.0,0.0,84.0,82.0,0.1271,94.2,11.17,-0.000034,0.2515,-0.000018,0.0,3.42,LOW_ENTROPY
P4,PUCT,4.0,16,150,12.0,16,64,14,,430.8,1719.4,0.6396,75.0,75.0,0.0,84.0,82.0,0.0902,96.5,13.26,-0.000051,0.2577,-0.000015,0.0,3.2564,LOW_ENTROPY
P5,PUCT,4.0,16,150,4.0,16,64,14,,425.3,1697.7,0.6378,75.0,75.0,0.0,84.0,82.0,0.0899,97.1,13.78,-0.000063,0.2598,-0.000033,0.0,3.3444,LOW_ENTROPY
P6,PUCT,4.0,16,150,12.0,8,32,14,,518.4,2070.3,0.4342,58.0,75.0,0.0,78.0,75.0,0.0906,99.4,20.34,-0.000043,0.2579,-0.000039,0.0,3.4832,LOW_ENTROPY
P7,PUCT,6.0,24,150,4.0,16,64,14,,384.4,2302.5,0.6286,75.0,75.0,0.0,85.0,82.0,0.1339,96.6,14.02,-0.000034,0.2551,0.000006,0.0,3.2855,LOW_ENTROPY
P8,PUCT,6.0,24,150,4.0,16,64,18,,415.1,2487.1,0.6311,75.0,75.0,0.0,85.0,82.0,0.1469,98.7,13.09,-0.000035,0.2559,-0.000009,0.0,3.461,LOW_ENTROPY
P8b,PUCT,6.0,24,150,4.0,8,64,18,,496.6,2975.9,0.5517,75.0,75.0,0.0,84.0,82.0,0.1759,97.0,10.7,-0.000019,0.2488,0.000006,0.0,3.4011,LOW_ENTROPY
