#Time         gpu     sm    mem    enc    dec    jpg    ofa 
#HH:MM:SS     Idx      %      %      %      %      %      % 
 21:28:31       0      4      0      0      0      0      0 
 21:28:32       0     41      9      0      0      0      0 
 21:28:33       0     12      1      0      0      0      0 
 21:28:34       0      0      0      0      0      0      0 
 21:28:35       0     29      4      0      0      0      0 
 21:28:36       0     42      6      0      0      0      0 
 21:28:37       0     51     10      0      0      0      0 
 21:28:38       0     84     14      0      0      0      0 
 21:28:39       0     80     14      0      0      0      0 
 21:28:40       0     80     12      0      0      0      0 
 21:28:41       0     80     13      0      0      0      0 
 21:28:42       0     78     14      0      0      0      0 
 21:28:43       0     79     12      0      0      0      0 
 21:28:44       0     81     14      0      0      0      0 
 21:28:45       0     44      7      0      0      0      0 
 21:28:46       0     81     17      0      0      0      0 
 21:28:47       0     79     16      0      0      0      0 
 21:28:48       0     77     16      0      0      0      0 
 21:28:49       0     77     16      0      0      0      0 
 21:28:50       0     77     16      0      0      0      0 
 21:28:51       0     80     16      0      0      0      0 
 21:28:52       0     75     15      0      0      0      0 
 21:28:53       0     79     18      0      0      0      0 
 21:28:54       0     77     19      0      0      0      0 
 21:28:55       0     87     27      0      0      0      0 
 21:28:56       0     87     29      0      0      0      0 
 21:28:57       0     83     28      0      0      0      0 
 21:28:58       0     87     34      0      0      0      0 
 21:28:59       0     88     37      0      0      0      0 
 21:29:00       0     87     31      0      0      0      0 
 21:29:01       0     86     35      0      0      0      0 
 21:29:02       0     85     31      0      0      0      0 
 21:29:03       0     85     31      0      0      0      0 
 21:29:04       0     86     33      0      0      0      0 
 21:29:05       0     87     37      0      0      0      0 
 21:29:06       0     84     30      0      0      0      0 
 21:29:07       0     86     34      0      0      0      0 
 21:29:08       0     84     32      0      0      0      0 
 21:29:09       0     87     37      0      0      0      0 
 21:29:10       0     84     33      0      0      0      0 
 21:29:11       0     83     29      0      0      0      0 
 21:29:12       0     80     25      0      0      0      0 
 21:29:13       0     83     32      0      0      0      0 
 21:29:14       0     85     32      0      0      0      0 
#Time         gpu     sm    mem    enc    dec    jpg    ofa 
#HH:MM:SS     Idx      %      %      %      %      %      % 
 21:29:15       0     85     31      0      0      0      0 
 21:29:16       0     83     32      0      0      0      0 
 21:29:17       0     86     37      0      0      0      0 
 21:29:18       0     83     31      0      0      0      0 
 21:29:19       0     83     34      0      0      0      0 
 21:29:20       0     83     30      0      0      0      0 
 21:29:21       0     84     32      0      0      0      0 
 21:29:22       0     86     36      0      0      0      0 
 21:29:23       0     83     31      0      0      0      0 
 21:29:24       0     84     35      0      0      0      0 
 21:29:25       0     86     36      0      0      0      0 
 21:29:26       0     86     37      0      0      0      0 
 21:29:27       0     85     31      0      0      0      0 
 21:29:28       0     87     37      0      0      0      0 
 21:29:29       0     85     35      0      0      0      0 
 21:29:30       0     86     35      0      0      0      0 
 21:29:31       0     86     37      0      0      0      0 
 21:29:32       0     85     36      0      0      0      0 
 21:29:33       0     85     34      0      0      0      0 
 21:29:34       0     86     37      0      0      0      0 
 21:29:35       0     84     36      0      0      0      0 
 21:29:36       0     84     33      0      0      0      0 
 21:29:37       0     85     36      0      0      0      0 
 21:29:38       0     86     37      0      0      0      0 
 21:29:39       0     84     35      0      0      0      0 
 21:29:40       0     82     33      0      0      0      0 
 21:29:41       0     84     36      0      0      0      0 
 21:29:42       0     83     34      0      0      0      0 
 21:29:43       0     82     32      0      0      0      0 
 21:29:44       0     84     34      0      0      0      0 
 21:29:45       0     86     36      0      0      0      0 
 21:29:46       0     85     35      0      0      0      0 
 21:29:47       0     82     31      0      0      0      0 
 21:29:48       0     82     30      0      0      0      0 
 21:29:49       0     85     36      0      0      0      0 
 21:29:50       0     84     33      0      0      0      0 
 21:29:51       0     86     36      0      0      0      0 
 21:29:52       0     83     37      0      0      0      0 
 21:29:53       0     90     41      0      0      0      0 
 21:29:54       0     92     63      0      0      0      0 
 21:29:55       0     89     55      0      0      0      0 
 21:29:56       0     90     56      0      0      0      0 
 21:29:57       0     96     65      0      0      0      0 
 21:29:58       0     84     35      0      0      0      0 
#Time         gpu     sm    mem    enc    dec    jpg    ofa 
#HH:MM:SS     Idx      %      %      %      %      %      % 
 21:29:59       0     82     33      0      0      0      0 
 21:30:00       0     82     34      0      0      0      0 
 21:30:01       0     84     35      0      0      0      0 
 21:30:02       0     84     35      0      0      0      0 
 21:30:03       0     84     34      0      0      0      0 
 21:30:04       0     85     35      0      0      0      0 
 21:30:05       0     84     35      0      0      0      0 
 21:30:06       0     84     35      0      0      0      0 
 21:30:07       0     85     35      0      0      0      0 
 21:30:08       0     84     35      0      0      0      0 
 21:30:09       0     83     35      0      0      0      0 
 21:30:10       0     81     34      0      0      0      0 
 21:30:11       0     83     34      0      0      0      0 
 21:30:12       0     85     35      0      0      0      0 
 21:30:13       0     83     33      0      0      0      0 
 21:30:14       0     84     35      0      0      0      0 
 21:30:15       0     84     35      0      0      0      0 
 21:30:16       0     84     35      0      0      0      0 
 21:30:18       0     85     35      0      0      0      0 
 21:30:19       0     83     34      0      0      0      0 
 21:30:20       0     84     35      0      0      0      0 
 21:30:21       0     83     35      0      0      0      0 
 21:30:22       0     87     36      0      0      0      0 
 21:30:23       0     85     34      0      0      0      0 
 21:30:24       0     81     34      0      0      0      0 
 21:30:25       0     84     34      0      0      0      0 
 21:30:26       0     85     35      0      0      0      0 
 21:30:27       0     84     35      0      0      0      0 
 21:30:28       0     85     35      0      0      0      0 
 21:30:29       0     86     36      0      0      0      0 
 21:30:30       0     86     36      0      0      0      0 
 21:30:31       0     83     35      0      0      0      0 
 21:30:32       0     82     34      0      0      0      0 
 21:30:33       0     83     35      0      0      0      0 
 21:30:34       0     83     35      0      0      0      0 
 21:30:35       0     85     35      0      0      0      0 
 21:30:36       0     84     35      0      0      0      0 
 21:30:37       0     85     35      0      0      0      0 
 21:30:38       0     84     35      0      0      0      0 
 21:30:39       0     83     34      0      0      0      0 
 21:30:40       0     82     34      0      0      0      0 
 21:30:41       0     83     34      0      0      0      0 
 21:30:42       0     92     60      0      0      0      0 
 21:30:43       0     84     35      0      0      0      0 
#Time         gpu     sm    mem    enc    dec    jpg    ofa 
#HH:MM:SS     Idx      %      %      %      %      %      % 
 21:30:44       0     81     34      0      0      0      0 
 21:30:45       0     84     34      0      0      0      0 
 21:30:46       0     86     36      0      0      0      0 
 21:30:47       0     85     35      0      0      0      0 
 21:30:48       0     84     35      0      0      0      0 
 21:30:49       0     83     35      0      0      0      0 
 21:30:50       0     85     35      0      0      0      0 
 21:30:51       0     83     34      0      0      0      0 
 21:30:52       0     85     35      0      0      0      0 
 21:30:53       0     83     35      0      0      0      0 
 21:30:54       0     82     34      0      0      0      0 
 21:30:55       0     84     35      0      0      0      0 
 21:30:56       0     82     33      0      0      0      0 
 21:30:57       0     86     36      0      0      0      0 
 21:30:58       0     83     35      0      0      0      0 
 21:30:59       0     87     36      0      0      0      0 
 21:31:00       0     94     56      0      0      0      0 
 21:31:01       0     84     35      0      0      0      0 
 21:31:02       0     86     36      0      0      0      0 
 21:31:03       0     83     34      0      0      0      0 
 21:31:04       0     85     35      0      0      0      0 
 21:31:05       0     85     31      0      0      0      0 
 21:31:06       0     85     34      0      0      0      0 
 21:31:07       0     83     34      0      0      0      0 
 21:31:08       0     82     34      0      0      0      0 
 21:31:09       0     83     34      0      0      0      0 
 21:31:10       0     85     35      0      0      0      0 
 21:31:11       0     83     35      0      0      0      0 
 21:31:12       0     90     54      0      0      0      0 
 21:31:13       0     85     32      0      0      0      0 
 21:31:14       0     87     32      0      0      0      0 
 21:31:15       0     96     58      0      0      0      0 
 21:31:16       0     79     32      0      0      0      0 
 21:31:17       0     82     34      0      0      0      0 
 21:31:18       0     96     65      0      0      0      0 
 21:31:19       0     81     32      0      0      0      0 
 21:31:20       0    100     72      0      0      0      0 
 21:31:21       0     82     34      0      0      0      0 
 21:31:22       0     83     34      0      0      0      0 
 21:31:23       0     82     34      0      0      0      0 
 21:31:24       0     82     32      0      0      0      0 
 21:31:25       0     81     32      0      0      0      0 
 21:31:26       0     83     34      0      0      0      0 
 21:31:27       0     83     33      0      0      0      0 
#Time         gpu     sm    mem    enc    dec    jpg    ofa 
#HH:MM:SS     Idx      %      %      %      %      %      % 
 21:31:28       0     92     62      0      0      0      0 
 21:31:29       0     81     33      0      0      0      0 
 21:31:30       0     80     31      0      0      0      0 
 21:31:31       0     81     34      0      0      0      0 
 21:31:32       0     82     34      0      0      0      0 
 21:31:33       0     80     32      0      0      0      0 
 21:31:34       0     79     33      0      0      0      0 
 21:31:35       0     83     33      0      0      0      0 
 21:31:36       0     83     34      0      0      0      0 
 21:31:37       0     88     50      0      0      0      0 
 21:31:38       0     87     36      0      0      0      0 
 21:31:39       0     91     57      0      0      0      0 
 21:31:40       0     83     32      0      0      0      0 
 21:31:41       0    100     72      0      0      0      0 
 21:31:42       0     82     30      0      0      0      0 
 21:31:43       0     92     61      0      0      0      0 
 21:31:44       0     83     33      0      0      0      0 
 21:31:45       0     82     30      0      0      0      0 
 21:31:46       0     74     29      0      0      0      0 
 21:31:47       0     85     52      0      0      0      0 
 21:31:48       0     77     26      0      0      0      0 
 21:31:49       0     91     60      0      0      0      0 
 21:31:50       0     81     28      0      0      0      0 
 21:31:51       0     80     29      0      0      0      0 
 21:31:52       0     81     31      0      0      0      0 
 21:31:53       0     90     56      0      0      0      0 
 21:31:54       0     83     33      0      0      0      0 
 21:31:55       0     80     32      0      0      0      0 
 21:31:56       0     85     35      0      0      0      0 
 21:31:57       0     87     56      0      0      0      0 
 21:31:58       0     80     30      0      0      0      0 
 21:31:59       0     77     29      0      0      0      0 
 21:32:00       0     78     26      0      0      0      0 
 21:32:01       0     79     29      0      0      0      0 
 21:32:02       0     80     31      0      0      0      0 
 21:32:03       0     80     31      0      0      0      0 
 21:32:04       0     88     47      0      0      0      0 
 21:32:05       0     78     28      0      0      0      0 
 21:32:06       0     76     26      0      0      0      0 
 21:32:07       0     78     31      0      0      0      0 
 21:32:08       0     80     29      0      0      0      0 
 21:32:09       0     77     25      0      0      0      0 
 21:32:10       0     90     60      0      0      0      0 
 21:32:11       0     81     31      0      0      0      0 
#Time         gpu     sm    mem    enc    dec    jpg    ofa 
#HH:MM:SS     Idx      %      %      %      %      %      % 
 21:32:12       0     94     63      0      0      0      0 
 21:32:13       0     81     25      0      0      0      0 
 21:32:14       0     79     29      0      0      0      0 
 21:32:15       0     79     26      0      0      0      0 
 21:32:16       0     81     30      0      0      0      0 
 21:32:17       0     96     64      0      0      0      0 
 21:32:18       0     82     29      0      0      0      0 
 21:32:19       0     78     26      0      0      0      0 
 21:32:20       0     84     33      0      0      0      0 
 21:32:21       0     81     33      0      0      0      0 
 21:32:22       0     79     29      0      0      0      0 
 21:32:23       0     80     33      0      0      0      0 
 21:32:24       0     78     32      0      0      0      0 
 21:32:25       0     79     31      0      0      0      0 
 21:32:26       0     80     30      0      0      0      0 
 21:32:27       0     98     71      0      0      0      0 
 21:32:29       0     79     30      0      0      0      0 
 21:32:30       0     76     25      0      0      0      0 
 21:32:31       0     80     38      0      0      0      0 
 21:32:32       0     76     28      0      0      0      0 
 21:32:33       0     78     30      0      0      0      0 
 21:32:34       0     77     29      0      0      0      0 
 21:32:35       0     79     30      0      0      0      0 
 21:32:36       0     77     26      0      0      0      0 
 21:32:37       0     81     27      0      0      0      0 
 21:32:38       0     83     33      0      0      0      0 
 21:32:39       0     84     34      0      0      0      0 
 21:32:40       0     80     30      0      0      0      0 
 21:32:41       0     81     33      0      0      0      0 
