#Time         gpu     sm    mem    enc    dec    jpg    ofa 
#HH:MM:SS     Idx      %      %      %      %      %      % 
 22:08:46       0     42      9      0      0      0      0 
 22:08:47       0     12      1      0      0      0      0 
 22:08:48       0     10      1      0      0      0      0 
 22:08:49       0     14      1      0      0      0      0 
 22:08:50       0     29      4      0      0      0      0 
 22:08:51       0     51     14      0      0      0      0 
 22:08:52       0     35      7      0      0      0      0 
 22:08:53       0     83     31      0      0      0      0 
 22:08:54       0     24      2      0      0      0      0 
 22:08:55       0     65     22      0      0      0      0 
 22:08:56       0     39      7      0      0      0      0 
 22:08:57       0     75     26      0      0      0      0 
 22:08:58       0     67     24      0      0      0      0 
 22:08:59       0     74     25      0      0      0      0 
 22:09:00       0     70     23      0      0      0      0 
 22:09:01       0     71     26      0      0      0      0 
 22:09:02       0     68     23      0      0      0      0 
 22:09:03       0     61     18      0      0      0      0 
 22:09:04       0     72     27      0      0      0      0 
 22:09:05       0     70     24      0      0      0      0 
 22:09:06       0     74     28      0      0      0      0 
 22:09:07       0     67     23      0      0      0      0 
 22:09:08       0     70     25      0      0      0      0 
 22:09:09       0     63     21      0      0      0      0 
 22:09:10       0     70     26      0      0      0      0 
 22:09:11       0     71     25      0      0      0      0 
 22:09:12       0     74     27      0      0      0      0 
 22:09:13       0     69     24      0      0      0      0 
 22:09:14       0     54     17      0      0      0      0 
 22:09:15       0     76     27      0      0      0      0 
 22:09:16       0     82     30      0      0      0      0 
 22:09:17       0     77     28      0      0      0      0 
 22:09:18       0     84     33      0      0      0      0 
 22:09:19       0     84     33      0      0      0      0 
 22:09:20       0     76     29      0      0      0      0 
 22:09:21       0     81     31      0      0      0      0 
 22:09:22       0     87     33      0      0      0      0 
 22:09:23       0     83     34      0      0      0      0 
 22:09:24       0     52     20      0      0      0      0 
 22:09:25       0     84     34      0      0      0      0 
 22:09:26       0     83     32      0      0      0      0 
 22:09:27       0     85     36      0      0      0      0 
 22:09:28       0     83     33      0      0      0      0 
 22:09:29       0     84     33      0      0      0      0 
#Time         gpu     sm    mem    enc    dec    jpg    ofa 
#HH:MM:SS     Idx      %      %      %      %      %      % 
 22:09:30       0     82     32      0      0      0      0 
 22:09:31       0     84     34      0      0      0      0 
 22:09:32       0     86     36      0      0      0      0 
 22:09:33       0     84     34      0      0      0      0 
 22:09:34       0     83     33      0      0      0      0 
 22:09:35       0     79     32      0      0      0      0 
 22:09:36       0     84     34      0      0      0      0 
 22:09:37       0     82     33      0      0      0      0 
 22:09:38       0     85     36      0      0      0      0 
 22:09:39       0     80     32      0      0      0      0 
 22:09:40       0     53     18      0      0      0      0 
 22:09:41       0     84     34      0      0      0      0 
 22:09:42       0     81     32      0      0      0      0 
 22:09:43       0     83     32      0      0      0      0 
 22:09:44       0     85     36      0      0      0      0 
 22:09:45       0     84     33      0      0      0      0 
 22:09:46       0     83     34      0      0      0      0 
 22:09:47       0     84     36      0      0      0      0 
 22:09:48       0     84     35      0      0      0      0 
 22:09:49       0     83     34      0      0      0      0 
 22:09:50       0     84     35      0      0      0      0 
 22:09:51       0     82     34      0      0      0      0 
 22:09:52       0     82     34      0      0      0      0 
 22:09:53       0     82     35      0      0      0      0 
 22:09:54       0     83     35      0      0      0      0 
 22:09:55       0     81     33      0      0      0      0 
 22:09:56       0     82     32      0      0      0      0 
 22:09:57       0     83     35      0      0      0      0 
 22:09:58       0     81     32      0      0      0      0 
 22:09:59       0     76     30      0      0      0      0 
 22:10:00       0     84     33      0      0      0      0 
 22:10:01       0     84     35      0      0      0      0 
 22:10:02       0     77     31      0      0      0      0 
 22:10:03       0     84     35      0      0      0      0 
 22:10:04       0     78     31      0      0      0      0 
 22:10:05       0     84     36      0      0      0      0 
 22:10:06       0     84     34      0      0      0      0 
 22:10:07       0     82     33      0      0      0      0 
 22:10:08       0     78     31      0      0      0      0 
 22:10:09       0     83     32      0      0      0      0 
 22:10:10       0     83     33      0      0      0      0 
 22:10:11       0     82     35      0      0      0      0 
 22:10:12       0     81     34      0      0      0      0 
 22:10:13       0     82     34      0      0      0      0 
#Time         gpu     sm    mem    enc    dec    jpg    ofa 
#HH:MM:SS     Idx      %      %      %      %      %      % 
 22:10:14       0     97     43      0      0      0      0 
 22:10:15       0     93     51      0      0      0      0 
 22:10:16       0     90     53      0      0      0      0 
 22:10:17       0     96     59      0      0      0      0 
 22:10:18       0     90     53      0      0      0      0 
 22:10:19       0    100     64      0      0      0      0 
 22:10:20       0     88     37      0      0      0      0 
 22:10:21       0     81     37      0      0      0      0 
 22:10:22       0     75     33      0      0      0      0 
 22:10:23       0     83     34      0      0      0      0 
 22:10:24       0     86     36      0      0      0      0 
 22:10:25       0     87     38      0      0      0      0 
 22:10:26       0     84     34      0      0      0      0 
 22:10:28       0     85     39      0      0      0      0 
 22:10:29       0     82     38      0      0      0      0 
 22:10:30       0     86     33      0      0      0      0 
 22:10:31       0     86     38      0      0      0      0 
 22:10:32       0     84     38      0      0      0      0 
 22:10:33       0     85     41      0      0      0      0 
 22:10:34       0     85     40      0      0      0      0 
 22:10:35       0     84     41      0      0      0      0 
 22:10:36       0     85     39      0      0      0      0 
 22:10:37       0     80     39      0      0      0      0 
 22:10:38       0     86     42      0      0      0      0 
 22:10:39       0     79     37      0      0      0      0 
 22:10:40       0     79     36      0      0      0      0 
 22:10:41       0     88     42      0      0      0      0 
 22:10:42       0     85     40      0      0      0      0 
 22:10:43       0     80     36      0      0      0      0 
 22:10:44       0     83     42      0      0      0      0 
 22:10:45       0     79     38      0      0      0      0 
 22:10:46       0     83     38      0      0      0      0 
 22:10:47       0     79     36      0      0      0      0 
 22:10:48       0     81     39      0      0      0      0 
 22:10:49       0     82     40      0      0      0      0 
 22:10:50       0     78     37      0      0      0      0 
 22:10:51       0     85     48      0      0      0      0 
 22:10:52       0     88     45      0      0      0      0 
 22:10:53       0     79     37      0      0      0      0 
 22:10:54       0     88     45      0      0      0      0 
 22:10:55       0     84     41      0      0      0      0 
 22:10:56       0     84     38      0      0      0      0 
 22:10:57       0     84     40      0      0      0      0 
 22:10:58       0     87     42      0      0      0      0 
#Time         gpu     sm    mem    enc    dec    jpg    ofa 
#HH:MM:SS     Idx      %      %      %      %      %      % 
 22:10:59       0     84     43      0      0      0      0 
 22:11:00       0     87     44      0      0      0      0 
 22:11:01       0     86     40      0      0      0      0 
 22:11:02       0     84     43      0      0      0      0 
 22:11:03       0     86     43      0      0      0      0 
 22:11:04       0     83     41      0      0      0      0 
 22:11:05       0     84     42      0      0      0      0 
 22:11:06       0     87     42      0      0      0      0 
 22:11:07       0     83     41      0      0      0      0 
 22:11:08       0     88     44      0      0      0      0 
 22:11:09       0     86     44      0      0      0      0 
 22:11:10       0     89     44      0      0      0      0 
 22:11:11       0     87     42      0      0      0      0 
 22:11:12       0     88     44      0      0      0      0 
 22:11:13       0     87     44      0      0      0      0 
 22:11:14       0     85     41      0      0      0      0 
 22:11:15       0     83     39      0      0      0      0 
 22:11:16       0     96     61      0      0      0      0 
 22:11:17       0     85     42      0      0      0      0 
 22:11:18       0     86     44      0      0      0      0 
 22:11:19       0     86     43      0      0      0      0 
 22:11:20       0     83     40      0      0      0      0 
 22:11:21       0     87     43      0      0      0      0 
 22:11:22       0     86     43      0      0      0      0 
 22:11:23       0     93     60      0      0      0      0 
 22:11:24       0    100     71      0      0      0      0 
 22:11:25       0     86     40      0      0      0      0 
 22:11:26       0     86     35      0      0      0      0 
 22:11:27       0     85     43      0      0      0      0 
 22:11:28       0     87     44      0      0      0      0 
 22:11:29       0     87     44      0      0      0      0 
 22:11:30       0     87     45      0      0      0      0 
 22:11:31       0     84     41      0      0      0      0 
 22:11:32       0     84     41      0      0      0      0 
 22:11:33       0     88     45      0      0      0      0 
 22:11:34       0     81     38      0      0      0      0 
 22:11:35       0     86     42      0      0      0      0 
 22:11:36       0     86     42      0      0      0      0 
